Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
52 250.00 1139.61 55.620110 52.1927 1.63188 12.8685 1.50272 0.0755123 11.965 0.28129 5.96374 0.00826845 0 9.94949 2.90696 0.0786296 0.116864 0.449478 0.00898955
53 250.00 1138.61 55.099479 52.2107 1.64575 12.8375 1.51052 0.0762258 12.0239 0.283464 5.91977 0.00824921 0 9.90557 2.9183 0.0792752 0.117968 0.453725 0.0090745
54 250.00 1137.61 54.574953 52.2337 1.65952 12.8078 1.51612 0.0735109 12.0826 0.285718 5.8744 0.008235 0 9.86176 2.93027 0.0799397 0.119102 0.458086 0.00916171
55 250.00 1136.61 54.067706 52.2535 1.67335 12.7773 1.5224 0.0728545 12.1413 0.287922 5.83036 0.00821888 0 9.81867 2.94168 0.0805916 0.12022 0.462383 0.00924766
56 250.00 1135.61 53.568883 52.2731 1.6872 12.7467 1.52866 0.0721875 12.1997 0.29013 5.78652 0.00820383 0 9.77597 2.953 0.0812436 0.121339 0.466689 0.00933378
57 250.00 1134.61 53.078206 52.2925 1.70105 12.7162 1.53488 0.0715097 12.2578 0.292343 5.74289 0.00818998 0 9.73367 2.96424 0.0818958 0.122461 0.471003 0.00942006
58 250.00 1133.61 52.595398 52.3116 1.71492 12.6857 1.54109 0.070821 12.3155 0.294562 5.69946 0.00817749 0 9.69175 2.97541 0.0825483 0.123585 0.475327 0.00950653
59 250.00 1132.61 52.120406 52.3303 1.7288 12.6552 1.55168 0.0701206 12.3689 0.296788 5.65621 0.00816652 0 9.65019 2.98649 0.0832009 0.124711 0.479659 0.00959317
60 250.00 1131.61 52.119997 52.3307 1.72881 12.6553 1.54385 0.0701212 12.376 0.296791 5.65625 0.00816658 0 9.65027 2.98651 0.0832016 0.124712 0.479662 0.00959325
61 250.00 1130.61 51.188600 52.3673 1.75672 12.5944 1.55958 0.0686868 12.4868 0.301302 5.57047 0.00815328 0 9.56854 3.00846 0.0845122 0.126981 0.48839 0.0097678
62 250.00 1129.61 50.734302 52.3853 1.7707 12.564 1.56572 0.0679509 12.5433 0.303571 5.52785 0.00814909 0 9.52818 3.01937 0.0851679 0.128118 0.492763 0.00985526
63 250.00 1128.61 50.286167 52.4029 1.78472 12.5336 1.57185 0.067202 12.5997 0.305866 5.48543 0.00814854 0 9.48822 3.03023 0.0858252 0.12926 0.497155 0.00994309
64 250.00 1127.61 49.843453 52.4198 1.79881 12.5032 1.57797 0.0664394 12.656 0.3082 5.44322 0.00815348 0 9.44867 3.04108 0.0864853 0.130408 0.50157 0.0100314
65 250.00 1126.61 49.407648 52.4263 1.81384 12.4566 1.58006 0.0659049 12.711 0.310918 5.40737 0.0082254 0 9.43564 3.04932 0.0871246 0.131559 0.505995 0.0101199
