Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
63 250.00 1128.61 0.451098 50.2585 0.221861 15.9215 0.564889 0.288126 6.74854 0.0449945 10.2886 0.00792732 0 13.8448 1.79882 0.0114525 0 0 0
64 250.00 1127.61 0.447899 51.4644 0.125504 17.5951 0.466526 0.258698 7.43742 0.00201794 9.63004 0.00036972 0 10.9304 2.07571 0.0137829 0 0 0
65 250.00 1126.61 0.848348 51.6656 0.131897 15.0176 0.492825 0.193379 9.12478 0 11.9807 0 0 9.695 1.68712 0.0110915 0 0 0
66 250.00 1125.61 0.447106 51.4491 0.133076 17.8661 0.460727 0.266855 7.57647 0 9.76965 0 0 10.3929 2.07125 0.0138126 0 0 0
67 250.00 1124.61 0.439962 51.4474 0.137227 17.8075 0.467631 0.269545 7.61813 0 9.74908 0 0 10.4148 2.07474 0.0139192 0 0 0
68 250.00 1123.61 0.437885 51.3554 0.180893 16.9827 0.530559 0.277614 7.41539 0 9.82108 0 0 11.4485 1.97466 0.0132197 0 0 0
69 250.00 1122.61 0.437807 51.2561 0.229159 16.083 0.598698 0.28451 7.2127 0 9.9226 0 0 12.537 1.86376 0.0124235 0 0 0
70 250.00 1121.61 0.430218 51.2515 0.235114 16.0708 0.605737 0.286936 7.25771 0 9.89023 0 0 12.5159 1.87348 0.0125552 0 0 0
71 250.00 1120.61 0.422847 51.2463 0.241398 16.0582 0.613024 0.289338 7.30328 0 9.85785 0 0 12.4948 1.88313 0.012687 0 0 0
72 250.00 1119.61 0.415687 51.2402 0.248049 16.0453 0.620582 0.291717 7.34947 0 9.82547 0 0 12.4737 1.89271 0.0128186 0 0 0
73 250.00 1118.61 0.408733 51.2333 0.255109 16.032 0.62844 0.294073 7.39634 0 9.79308 0 0 12.4525 1.90221 0.0129501 0 0 0
74 250.00 1117.61 0.401978 51.2255 0.262628 16.0182 0.636631 0.29641 7.44396 0 9.76068 0 0 12.4313 1.91162 0.0130814 0 0 0
75 250.00 1116.61 0.395418 51.2166 0.270666 16.004 0.645193 0.298731 7.49243 0 9.72827 0 0 12.41 1.92094 0.0132125 0 0 0
76 250.00 1115.61 0.389047 51.2064 0.27929 15.9892 0.654168 0.30104 7.54183 0 9.69583 0 0 12.3887 1.93016 0.0133432 0 0 0
