System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
49 250.00 1142.61 57.238800 0.9902934934991613 0.991185 -682291.585448 151.167372 21.341611 81.712578 -125.882628 1477.929450 -9.955 0.000 2.679617 2.953132 2.705 n/a n/a
50 250.00 1141.61 56.689512 0.9903726846068880 0.991257 -675361.989805 149.678405 21.136157 80.883930 -124.856855 1465.048423 -9.967 0.000 2.679719 2.953250 2.710 n/a n/a
51 250.00 1140.61 56.150049 0.9904497215684300 0.991327 -668558.833454 148.216034 20.934370 80.070382 -123.848099 1452.401303 -9.979 0.000 2.679822 2.953373 2.716 n/a n/a
52 250.00 1139.61 55.620110 0.9905246033548128 0.991395 -661878.219727 146.779447 20.736135 79.271474 -122.855820 1439.981142 -9.991 0.000 2.679925 2.953501 2.722 n/a n/a
53 250.00 1138.61 55.099479 0.9903294186964773 0.991273 -655322.464845 145.364565 20.540761 78.480502 -121.862268 1427.364557 -10.004 0.000 2.679893 2.972364 2.728 n/a n/a
54 250.00 1137.61 54.574953 0.9905529437218173 0.991448 -648744.699912 143.947902 20.345720 77.693723 -120.894480 1415.133657 -10.016 0.000 2.679957 2.963279 2.734 n/a n/a
55 250.00 1136.61 54.067706 0.9906200080149385 0.991510 -642369.782173 142.573939 20.156249 76.929832 -119.943102 1403.198331 -10.028 0.000 2.680021 2.963593 2.740 n/a n/a
56 250.00 1135.61 53.568883 0.9906846205111880 0.991569 -636103.242422 141.222816 19.969918 76.178911 -119.006160 1391.465153 -10.041 0.000 2.680086 2.963917 2.746 n/a n/a
57 250.00 1134.61 53.078206 0.9907466241691961 0.991626 -629941.496284 139.893791 19.786622 75.440540 -118.083113 1379.927913 -10.053 0.000 2.680151 2.964250 2.752 n/a n/a
58 250.00 1133.61 52.595398 0.9908057809570779 0.991680 -623880.952094 138.586121 19.606255 74.714298 -117.173402 1368.580474 -10.065 0.000 2.680217 2.964594 2.757 n/a n/a
59 250.00 1132.61 52.120406 0.9998363126208091 0.999865 -617760.855394 137.413808 19.444435 -1425860589244353106438722323461403233548082753684679658658164195196928.000000 5396512622888689155068654022409663471190389276384078417233350072729600.000000 -233958935683167843281774745926953232657377572637068765030656116843872256.000000 -10.077 0.000 2.680401 3.261426 2.762 n/a n/a
60 250.00 1131.61 52.119997 0.9819692882765647 0.983661 -618147.824278 137.133097 19.411761 73.859146 -115.567710 1351.649409 -10.090 0.000 2.680354 2.962880 2.769 n/a n/a
61 250.00 1130.61 51.188600 0.9909614857135207 0.991824 -606237.225136 134.776593 19.080595 72.600308 -114.511509 1335.561797 -10.102 0.000 2.680425 2.965701 2.774 n/a n/a
62 250.00 1129.61 50.734302 0.9910018839039626 0.991861 -600543.175829 133.546448 18.910789 -27133952543035182005582608415992443930485234216147630097941506807562240.000000 97327007859197304109682080344136729178295859615886610303117122147975168.000000 -4338919838299057459448432477622395878656775864872872194079139246395883520.000000 -10.115 0.000 2.680499 2.966099 2.780 n/a n/a
63 250.00 1128.61 50.286167 0.9910293896685052 0.991887 -594928.274520 132.333102 18.743221 71.245503 -112.793518 1314.415610 -10.127 0.000 2.680579 2.966515 2.785 n/a n/a
64 250.00 1127.61 49.843453 0.9910138913140157 0.991763 -589373.748227 131.141157 18.578263 -1097074749726769370800497124506832591148478754698289758636148042760192.000000 3651018230927624966706758573323321174064365949922900611447328719503360.000000 -169099896431037948983635996826237309655228059218528532657187039496634368.000000 -10.139 0.000 2.680864 2.926893 2.788 n/a n/a
65 250.00 1126.61 49.407648 0.9828296128463936 0.984560 -584031.771091 129.868808 18.398623 69.827040 -110.338117 1289.649932 -10.152 0.000 2.680680 2.986350 2.795 n/a n/a
66 250.00 1125.61 48.566084 0.9907938603737476 0.991551 -573438.452196 127.728633 18.101389 68.685621 -109.274564 1275.128643 -10.164 0.000 2.680954 2.923534 2.798 n/a n/a
67 250.00 1124.61 48.125768 0.9908580765453595 0.991613 -567913.053629 126.537916 17.935511 68.032072 -108.361747 1265.306910 -10.177 0.000 2.681224 2.924894 2.801 n/a n/a
68 250.00 1123.61 47.692607 0.9908185959039634 0.991627 -562484.472689 125.363481 17.771665 67.385173 -107.472599 1255.551438 -10.189 0.000 2.681445 2.942649 2.805 n/a n/a
69 250.00 1122.61 47.263758 0.9907369505620045 0.991607 -557114.998933 124.201300 17.609633 66.742841 -106.609877 1245.771593 -10.202 0.000 2.681616 2.962358 2.809 n/a n/a
70 250.00 1121.61 46.834994 0.9908141843150192 0.991678 -551746.680870 123.045158 17.448895 66.104599 -105.763152 1236.006879 -10.214 0.000 2.681785 2.962864 2.813 n/a n/a
71 250.00 1120.61 46.413826 0.9908896378202999 0.991748 -546475.745307 121.909457 17.291014 65.477846 -104.930878 1226.412919 -10.227 0.000 2.681952 2.963389 2.817 n/a n/a
72 250.00 1119.61 46.000036 0.9909633270899761 0.991816 -541299.417471 120.793613 17.135908 64.862250 -104.112653 1216.984640 -10.240 0.000 2.682117 2.963935 2.821 n/a n/a
73 250.00 1118.61 45.593412 0.9910352623391697 0.991882 -536215.011971 119.697060 16.983499 64.257491 -103.308089 1207.717101 -10.252 0.000 2.682280 2.964502 2.825 n/a n/a
74 250.00 1117.61 45.193750 0.9911054472669624 0.991947 -531219.926928 118.619251 16.833711 63.663260 -102.516807 1198.605481 -10.265 0.000 2.682441 2.965095 2.829 n/a n/a
75 250.00 1116.61 44.800850 0.9911738781904973 0.992010 -526311.638073 117.559652 16.686470 63.079252 -101.738440 1189.645060 -10.277 0.000 2.682599 2.965715 2.834 n/a n/a
76 250.00 1115.61 44.414517 0.9912405430446654 0.992071 -521487.692758 116.517744 16.541703 62.505175 -100.972633 1180.831210 -10.290 0.000 2.682754 2.966366 2.838 n/a n/a
77 250.00 1114.61 44.034563 0.9913054202421615 0.992132 -516745.703822 115.493021 16.399341 61.940740 -100.219037 1172.159369 -10.303 0.000 2.682906 2.967051 2.842 n/a n/a
78 250.00 1113.61 43.660800 0.9913684774082100 0.992190 -512083.343273 114.484988 16.259316 61.385667 -99.477313 1163.625033 -10.315 0.000 2.683055 2.967775 2.846 n/a n/a
79 250.00 1112.61 43.293048 0.9914296700300864 0.992247 -507498.335734 113.493158 16.121560 60.839680 -98.747128 1155.223728 -10.328 0.000 2.683201 2.968543 2.850 n/a n/a
80 250.00 1111.61 42.931127 0.9914889402125410 0.992302 -502988.451628 112.517056 15.986007 60.302509 -98.028155 1146.950994 -10.341 0.000 2.683342 2.969361 2.854 n/a n/a
81 250.00 1110.61 42.574861 0.9915462155663254 0.992356 -498551.500174 111.556209 15.852594 59.773885 -97.320073 1138.802363 -10.354 0.000 2.683480 2.970234 2.858 n/a n/a
